year,comu_rockfish_diet,comu_anchovy_diet,rreas_rockfish_index,rreas_anchovy_index
1983,0.18,NA,-0.473550665,NA
1984,0.69,NA,4.281712772,NA
1985,0.74,NA,4.569550775,NA
1986,0.38,NA,2.538858325,NA
1987,0.89,NA,3.977630017,NA
1988,0.82,NA,4.98793785,NA
1989,0.47,NA,2.464455787,NA
1990,0.24,NA,0.866671295,3.118203414
1991,0.41,0.36,2.55815135,-2.863136468
1992,0.09,0.66,-0.609524728,3.695943942
1993,0.31,0.63,2.980699827,1.841341859
1994,0.13,0.81,-0.352885903,3.176798459
1995,0.15,0.76,-0.204907592,5.114116846
1996,0.09,0.76,0.524191876,1.303928812
1997,0.17,0.73,0.25930742,2.610522631
1998,0.01,0.88,-1.988312162,3.417899783
1999,0.06,0.74,-0.009402011,4.072721118
2000,0.03,0.66,0.559988067,1.896938068
2001,0.49,0.29,2.253248709,0.840085053
2002,0.74,0.16,3.274733735,-0.56154084
2003,0.5,0.3,1.871586392,0.158127049
2004,0.27,0.6,2.176486565,3.791401746
2005,0.02,0.77,-3.969982152,4.217122215
2006,0.01,0.83,-2.13791228,4.235621443
2007,0.05,0.86,-0.13686742,3.241725961
2008,0.25,0.57,1.339477121,-1.132850069
2009,0.72,0.05,2.38694318,0.150521244
2010,0.85,0.03,1.677920229,-2.863136468
2011,0.42,0.21,1.302608907,-2.810109671
2012,0.46,0.08,0.89509896,-2.863136468
2013,0.85,0.02,5.390374805,-0.071563995
2014,0.89,0.03,3.224226208,-0.825238924
2015,0.51,0.33,3.941764938,-2.746849711
2016,0.388,0.531,3.509404714,-2.863136468
2017,0.612,0.345,2.482440379,-1.380732258
2018,0.214,0.715,1.2013737,5.942805937
2019,0.038,0.867,-1.425581409,7.090703306
