yr,datetime,gage_ht,precip_wk_in
2010,2010-02-06T05:45:00Z,11.98,2.12
2011,2011-02-18T20:00:00Z,9.57,1.33
2012,2012-01-23T12:00:00Z,5.89,0.85
2013,2013-01-24T04:15:00Z,5.89,0.6900000000000001
2014,2014-02-28T08:07:00Z,10,3.99
2015,2015-01-11T04:00:00Z,4.34,0.6799999999999999
2016,2016-01-06T12:37:00Z,8.67,2.61
2017,2017-02-17T16:22:00Z,13.28,2.1199999999999997
2018,2018-01-09T15:52:00Z,9,2.33
2019,2019-02-02T11:50:00Z,9.76,3
2020,2020-01-17T01:15:00Z,3.07,0.14
2021,2021-01-28T21:15:00Z,6.47,2.12
2022,2022-01-17T12:00:00Z,1.57,0.15
2025,2025-02-13T18:00:00Z,8.52,2.4
