plot_id,treatment,success,shoot_density_m2,success_fct
1,Garden staple,1,45.942407761953426,Succeed
2,Popsicle stick,1,91.60584780068618,Succeed
3,Garden staple,0,120.9275960745817,Fail
4,Popsicle stick,0,67.86314371603025,Fail
5,Popsicle stick,1,88.09977290677995,Succeed
6,Garden staple,1,87.93507752519702,Succeed
7,Garden staple,1,91.10101854462852,Succeed
8,Popsicle stick,0,80.49590419572503,Fail
9,Garden staple,0,50.127608510897105,Fail
10,Garden staple,0,89.34858231530589,Fail
11,Popsicle stick,0,79.07873737621473,Fail
12,Garden staple,0,90.78335723132835,Fail
13,Popsicle stick,1,103.23032181163428,Succeed
14,Garden staple,1,74.00987841448453,Succeed
15,Garden staple,1,48.079497258130466,Succeed
16,Popsicle stick,1,135.43155307856256,Succeed
17,Garden staple,0,105.59553003553387,Fail
18,Garden staple,1,86.54689112698223,Succeed
19,Garden staple,1,83.29786013471642,Succeed
20,Popsicle stick,1,117.08278647706413,Succeed
21,Popsicle stick,0,186.9085684663018,Fail
22,Popsicle stick,1,117.39488700848827,Succeed
23,Popsicle stick,1,60.429283774733264,Succeed
24,Popsicle stick,1,93.33798819393732,Succeed
25,Popsicle stick,1,53.81772001173978,Succeed
26,Popsicle stick,0,143.65481630423832,Fail
27,Garden staple,0,121.35634768130038,Fail
28,Garden staple,0,145.1598443392366,Fail
29,Garden staple,0,77.4074936829237,Fail
30,Garden staple,1,56.08248241010051,Succeed
31,Popsicle stick,0,144.3981923771101,Fail
32,Popsicle stick,0,38.697637142531846,Fail
33,Popsicle stick,0,118.64341044795938,Fail
34,Popsicle stick,0,86.46562015502211,Fail
35,Garden staple,0,98.72087169065688,Fail
36,Garden staple,1,60.53320588708152,Succeed
37,Popsicle stick,0,79.14819032249662,Fail
38,Garden staple,1,22.900594035929238,Succeed
39,Garden staple,1,30.36157134603842,Succeed
40,Garden staple,0,98.10563618361435,Fail
41,Garden staple,0,170.63116911385805,Fail
42,Garden staple,0,30.1259663546146,Fail
43,Garden staple,0,9.707359086599679,Fail
44,Garden staple,0,82.98167510164615,Fail
45,Garden staple,1,37.35411907050401,Succeed
46,Garden staple,0,69.27901695907785,Fail
47,Garden staple,0,92.64992552908728,Fail
48,Garden staple,0,56.75817090627292,Fail
49,Garden staple,0,45.84684451626431,Fail
50,Popsicle stick,0,140.2037721054494,Fail
51,Garden staple,1,36.24725298632925,Succeed
52,Garden staple,0,132.4695728028509,Fail
53,Popsicle stick,1,119.03346874192046,Succeed
54,Garden staple,0,53.068804951443326,Fail
55,Garden staple,0,84.21521830463526,Fail
56,Garden staple,0,165.4829148382548,Fail
57,Garden staple,0,32.86252921062412,Fail
58,Popsicle stick,1,88.56045172079413,Succeed
59,Popsicle stick,1,78.36595006982014,Succeed
60,Garden staple,0,34.99761380144218,Fail
61,Popsicle stick,1,53.16158994678618,Succeed
62,Garden staple,0,87.2859767318447,Fail
63,Garden staple,1,53.900033561360765,Succeed
64,Garden staple,0,41.302003156584604,Fail
65,Popsicle stick,1,75.7768673469924,Succeed
66,Garden staple,0,72.31032998878469,Fail
67,Popsicle stick,0,143.24954505357317,Fail
68,Popsicle stick,1,93.63100087936598,Succeed
69,Popsicle stick,1,124.83477824775707,Succeed
70,Garden staple,0,52.5646659499612,Fail
71,Popsicle stick,0,122.5914715376146,Fail
72,Popsicle stick,1,123.94401277204443,Succeed
73,Popsicle stick,0,157.27171973347137,Fail
74,Garden staple,1,50.09857985983837,Succeed
75,Garden staple,1,164.6731886611423,Succeed
76,Garden staple,1,94.28072152813137,Succeed
77,Garden staple,0,31.01011277128712,Fail
78,Popsicle stick,1,44.01833238728271,Succeed
79,Garden staple,1,176.4457845919483,Succeed
80,Garden staple,1,127.71813618125952,Succeed
81,Garden staple,1,60.430689905907514,Succeed
82,Popsicle stick,1,40.73253215582903,Succeed
83,Garden staple,1,53.31452841148962,Succeed
84,Popsicle stick,1,89.78200577145037,Succeed
85,Garden staple,1,145.39877852894608,Succeed
86,Garden staple,0,67.9930478583064,Fail
87,Popsicle stick,1,106.3737854690254,Succeed
88,Popsicle stick,0,71.45533002961214,Fail
89,Popsicle stick,0,69.43687532487726,Fail
90,Garden staple,1,116.81427973516152,Succeed
91,Garden staple,0,76.1230937859541,Fail
92,Popsicle stick,1,241.56872679313796,Succeed
93,Garden staple,1,81.12179790993494,Succeed
94,Popsicle stick,0,88.62599145284348,Fail
95,Garden staple,1,50.171106688410646,Succeed
96,Garden staple,0,38.354524577806814,Fail
97,Popsicle stick,1,122.523837789565,Succeed
98,Garden staple,1,57.05442302934614,Succeed
99,Garden staple,0,56.30702639734801,Fail
100,Garden staple,0,45.7361631346398,Fail
